TimeStamp,Pol,IS,Moisture,Ash,Filterability,Color,Alcohol_Floc
2021-02-23 07:00:00,98.9555,0.2206206,0.1264597999999999,0.1491548,1326.9174,903.05617,67.7969
2021-02-24 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-02-25 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-02-26 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-02-27 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-02-28 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-03-01 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-03-02 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-03-03 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-03-04 07:00:00,98.9555,0.2206206,0.1264597999999999,0.1491548,1326.9174,903.05617,67.7969
2021-03-05 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-03-06 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-07 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-08 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-09 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-10 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-11 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-12 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-13 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-14 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-15 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-16 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-17 07:00:00,98.94166666666668,0.2146833333333333,0.1192166666666666,0.1489666666666667,1483.4166666666663,694.0491666666667,67.025
2021-03-18 07:00:00,98.93333333333334,0.2111066666666667,0.1148533333333333,0.1488533333333333,1577.6933333333334,568.1413333333333,66.56
2021-03-19 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-03-20 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
2021-03-21 07:00:00,98.9,0.1968,0.0974,0.1484,1954.8,64.50999999999999,64.7
