TimeStamp,MELTER.MELTER_CONTROL_BX.Value,MELTER_ML.TEMP_PV_Value,CO2.CO2_GAS_concentration_Value,CO2.CO2_GAS_F.Value,CO2.CO2_GAS_PRESS.Value,SATURATOR1_PH_PV.Value,SATURATOR1_ST_TEMP.Value,SATURATOR1_CALCIUM_F.Value,SATURATOR2_PH_PV.Value,SATURATOR2_ST_TEMP.Value,SATURATOR2_CALCIUM_F.Value,SATURATOR3_PH_PV.Value,SATURATOR3_ST_TEMP.Value,SATURATOR1_RATE_SV.Value,SATURATOR_ML_SUPPLY_F_PV.Value
2021-01-01 06:30:00,63.596435,77.54325,10.0745465,118.94995,0.4729389499999999,8.988324,72.757885,1006.01,9.5183225,76.714695,756.1139000000001,8.537605,71.891655,0.7,87.950895
2021-01-01 06:45:00,63.613455,77.699555,10.132475,119.38955,0.4717751,8.986896,73.08619,989.87895,9.535268,76.721525,731.45265,8.526375000000002,71.86996500000001,0.7,86.08025
2021-01-01 07:00:00,63.4158875,76.7795875,10.0478565,119.393925,0.467267,8.9991395,72.375355,978.868675,9.5024615,76.80999750000001,739.461475,8.567518,71.89323250000001,0.7,85.24195499999999
2021-01-01 07:15:00,63.21832,75.85962,9.963238,119.3983,0.4627589,9.011383,71.66452,967.8584,9.469655,76.89847,747.4703,8.608661,71.9165,0.7,84.40366
2021-01-01 07:30:00,63.826795,77.65109,10.09593,122.83575,0.47463105,8.8347835,72.913385,945.92905,9.5911645,76.642585,641.04565,8.200410000000002,71.58065500000001,0.7,80.824715
2021-01-01 07:45:00,64.20827,79.1776,10.42407,120.2907,0.4623945,8.985065,74.22937,959.6224,9.478091,76.8177,693.4432,8.570861,71.66968,0.7,81.99152
2021-01-01 08:00:00,63.56206,76.23947,10.57313,119.7681,0.474701,8.971716,71.96696,968.5996,9.466786,76.82355,638.6172,8.211813,71.67255,0.7,81.78405000000001
2021-01-01 08:15:00,64.51584,79.04288,10.01244,122.2291,0.4632718,8.803284,75.37648,963.3172,9.583824,76.93759,728.0516,8.561997,71.77463,0.7,82.26127
2021-01-01 08:30:00,63.606615,77.84953999999999,10.0514345,120.42415,0.47110025,8.948769500000001,73.43447,987.37495,9.532504,76.93666,703.1504,8.445877,71.867395,0.7,84.02348500000001
2021-01-01 08:45:00,64.16859,79.69766,10.20694,119.1018,0.4672084,8.976327,72.35345,1009.838,9.483956,76.97176,748.4719,8.558773,71.98868,0.7,85.9659
2021-01-01 09:00:00,63.12745,76.06343,10.01308,120.9048,0.4752106,8.902435,75.18837,987.0557,9.603174,77.17282,696.8104,8.303131,72.2032,0.7,85.98756
2021-01-01 09:15:00,63.48522,77.72811,10.087815,120.27165,0.46990885,8.7958575,73.787565,506.95355,9.5324275,77.075265,581.929035,8.422063999999999,72.14919499999999,0.7,86.024865
2021-01-01 09:30:00,63.56378375,77.72700125,10.13009625,120.19165,0.4704568999999999,8.88141825,73.63892125000001,757.81615,9.53387225,77.04749875,633.842855,8.450684375,72.07389749999999,0.7,85.27592625
2021-01-01 09:45:00,63.6423475,77.7258925,10.1723775,120.11165,0.47100495,8.966979,73.4902775,1008.67875,9.535317,77.0197325,685.756675,8.47930475,71.9986,0.7,84.5269875
2021-01-01 10:00:00,63.66991875,77.76212625,10.0588135,119.907375,0.47110035,8.967571249999999,73.15950375,1009.601625,9.530414749999998,76.96453125,727.6171125000001,8.486638875,71.8927275,0.7,84.76112125
2021-01-01 10:15:00,63.69749,77.79836,9.9452495,119.7031,0.47119575,8.9681635,72.82873000000001,1010.5245,9.5255125,76.90933,769.4775500000001,8.493973,71.786855,0.7,84.995255
2021-01-01 10:30:00,63.7096225,77.8102825,10.04252475,119.71805,0.471576425,8.986279,72.9957,1009.86625,9.5229785,76.91319999999999,717.86405,8.504443250000001,71.8226525,0.7,85.48939250000001
2021-01-01 10:45:00,63.721755,77.822205,10.1398,119.733,0.4719571,9.0043945,73.16266999999999,1009.208,9.5204445,76.91707,666.25055,8.5149135,71.85845,0.7,85.98353
2021-01-01 11:00:00,63.30462,79.12775,10.28346,121.4169,0.4661588,9.049309,75.4157,1010.427,9.445089,76.92577,581.4315,8.617624,71.89632,0.7,85.94429
2021-01-01 11:15:00,63.688435,77.94318,10.097035,118.5597,0.4760685999999999,8.9287275,73.42053999999999,997.54345,9.606206,76.95586,793.63495,8.496347,71.976875,0.7,85.94482500000001
2021-01-01 11:30:00,64.62096,76.70222,10.3221,120.8025,0.4656814,9.038047,72.09209,1018.769,9.436579,76.99646,545.0485,8.377694,71.84068,0.7,84.21222
2021-01-01 11:45:00,63.21587,79.64548,10.38501,121.2292,0.465349,9.0811,72.10108,1011.332,9.415735,76.9675,603.6142,8.334922,71.841,0.7,84.31134
