SA,SD,PA,PI,LR,HC,fuel,bus_num,file_index
2,11,731,0,117,1731,22.374,##########kd000023,44_14
8,10,228,0,385,1038,9.639,##########kd000023,44_15
0,4,128,0,0,3609,19.81,##########kd000023,45_5
5,6,255,189,349,552,8.395,##########kd000023,45_9
18,8,665,0,187,2432,23.82,##########kd000023,45_10
1,1,289,146,326,3532,22.807,##########kd000023,46_2
22,31,640,294,922,1782,16.315,##########kd000023,46_5
2,0,134,0,0,3049,16.884,##########kd000023,47_6
2,15,530,369,530,1835,14.784,##########kd000023,47_8
12,12,352,598,1817,2536,16.986,##########kd000023,47_15
5,6,139,0,157,1808,11.861,##########kd000097,48_1
3,14,523,183,536,1563,19.076,##########kd000097,48_2
1,6,247,0,123,1102,10.69,##########kd000097,48_4
5,3,288,61,152,612,8.349,##########kd000097,48_7
0,0,87,0,0,1435,6.308,##########kd000097,48_9
16,20,370,226,2904,845,10.134,##########kd000023,49_5
6,15,416,147,413,1667,13.529,##########kd000023,49_10
4,5,285,282,493,1231,9.213,##########kd000023,49_11
1,2,219,0,98,595,7.769,##########kd000023,49_12
11,7,242,66,495,1182,8.853,##########kd000023,49_14
1,3,125,0,310,644,5.846,##########kd000023,50_4
0,0,17,0,0,2443,13.092,##########kd000023,50_5
1,2,51,489,548,2281,15.766,##########kd000023,50_6
2,8,303,0,0,1421,15.231,##########kd000023,50_8
3,1,276,250,331,639,8.36,##########kd000023,50_14
5,17,623,0,319,2547,21.917,##########kd000023,50_15
0,2,85,0,0,2040,9.731,##########kd000023,50_17
11,7,261,573,1003,1906,13.232,##########kd000023,50_18
0,5,349,288,913,3298,20.395,##########kd000023,51_10
2,1,230,0,292,1302,11.181,##########kd000023,52_3
0,0,90,0,0,1969,12.613,##########kd000023,52_4
12,24,362,966,1423,3022,22.814,##########kd000023,52_5
2,22,422,162,307,1360,14.59,##########kd000023,52_6
0,6,442,0,0,1112,12.537,##########kd000023,52_13
0,0,0,0,0,1226,8.394,##########kd000097,53_6
0,0,54,0,0,1097,7.731,##########kd000097,54_3
0,0,43,0,0,2520,15.765,##########kd000097,54_4
3,4,119,0,0,1782,11.728,##########kd000097,54_6
4,8,515,71,248,1552,17.891,##########kd000097,54_8
0,5,291,0,228,1021,11.344,##########kd000097,54_11
0,6,261,0,63,527,8.423,##########kd000097,54_14
8,9,305,162,599,4132,22.983,##########kd000097,54_16
0,1,81,0,0,2071,11.792,##########kd000023,55_8
3,21,635,0,439,1613,15.598,##########kd000023,56_2
0,1,63,0,0,1299,7.518,##########kd000023,56_3
9,27,350,865,1169,3204,22.64,##########kd000023,56_4
3,12,281,0,0,1318,14.03,##########kd000023,56_5
2,3,239,125,191,644,8.14,##########kd000023,56_10
0,11,465,0,129,1152,12.468,##########kd000023,56_11
3,4,191,0,312,825,6.116,##########kd000023,56_12
2,6,115,337,400,2510,14.575,##########kd000023,56_13
3,3,102,651,964,3402,17.873,##########kd000023,56_14
2,0,152,0,288,3146,17.568,##########kd000023,57_4
1,10,310,0,0,1404,13.985,##########kd000023,57_6
2,12,285,262,318,1426,11.537,##########kd000023,57_10
1,3,379,0,150,2539,19.456,##########kd000097,58_2
0,0,43,0,0,1658,11.748,##########kd000097,58_3
0,0,13,0,0,1325,8.96,##########kd000097,58_4
1,4,233,114,348,991,9.919,##########kd000097,58_11
2,8,270,0,0,605,7.8,##########kd000097,58_13
1,1,177,0,283,2088,11.668,##########kd000097,58_17
1,7,198,64,420,1132,8.208,##########kd000023,59_2
0,0,39,0,0,2232,11.233,##########kd000023,59_3
3,7,279,0,0,624,8.274,##########kd000023,59_5
0,2,368,0,0,1006,11.851,##########kd000023,59_6
3,8,196,0,273,1273,8.952,##########kd000023,59_8
0,0,89,0,0,1734,10.018,##########kd000023,60_3
2,12,311,0,0,1279,14.259,##########kd000023,60_7
2,9,97,87,240,1069,6.912,##########kd000023,60_11
0,2,39,0,0,1648,8.309,##########kd000023,61_4
0,0,0,0,0,1358,7.015,##########kd000023,61_5
6,15,353,421,1172,2578,17.053,##########kd000023,61_10
2,9,321,0,215,1269,10.348,##########kd000023,62_2
3,19,394,137,337,1294,15.083,##########kd000023,62_4
1,5,141,0,79,1091,7.371,##########kd000023,62_10
7,8,256,202,466,617,8.552,##########kd000023,62_11
3,3,279,62,129,559,7.797,##########kd000023,63_7
0,2,201,0,69,2151,14.375,##########kd000097,64_2
0,1,67,0,0,2386,15.212,##########kd000097,64_3
