SA,SD,PA,PI,LR,HC,fuel,bus_num,file_index
0,11,386,0,326,1513,12.568,##########kd000013,537_7
0,6,337,0,752,2847,18.483,##########kd000013,537_10
0,0,174,134,360,1375,10.011,##########kd000013,538_4
0,0,110,0,0,1878,12.327,##########kd000013,538_5
0,1,114,0,0,2809,16.841,##########kd000013,538_10
1,16,205,0,124,688,5.118,##########kd000049,539_3
0,0,38,0,0,817,5.087,##########kd000049,539_7
1,16,219,0,265,3257,21.478,##########kd000049,539_10
4,24,291,0,77,660,6.047,##########kd000049,539_11
4,10,396,0,529,3073,18.16,##########kd000049,539_13
0,12,233,120,254,2343,12.335,##########kd000049,539_14
2,39,273,160,316,636,6.127,##########kd000013,540_6
2,31,321,0,119,608,6.029,##########kd000013,540_16
2,24,336,0,255,418,5.965,##########kd000013,541_13
2,18,311,178,684,1156,10.546,##########kd000013,541_17
1,24,330,0,281,573,5.884,##########kd000013,542_5
0,10,316,0,135,1907,12.232,##########kd000013,543_7
0,20,349,0,97,3169,20.851,##########kd000013,543_8
1,40,355,0,122,502,6.328,##########kd000013,543_9
0,18,325,0,288,3021,18.408,##########kd000013,543_13
1,16,648,0,903,2332,19.141,##########kd000013,544_3
2,26,385,84,457,1684,14.625,##########kd000013,544_5
0,27,301,72,382,631,5.379,##########kd000004,545_3
1,22,347,0,205,1732,14.922,##########kd000004,545_4
8,20,262,418,919,3716,22.286,##########kd000004,545_5
0,2,200,355,517,3028,19.899,##########kd000004,545_6
1,23,301,0,256,2347,17.638,##########kd000004,545_7
3,19,264,67,289,520,5.456,##########kd000004,545_10
0,4,268,0,289,1291,12.736,##########kd000004,545_11
0,0,39,0,0,1586,7.871,##########kd000004,545_12
3,8,617,374,2242,1758,16.977,##########kd000004,545_13
2,15,233,79,305,1005,8.57,##########kd000004,546_6
4,18,328,0,451,2206,17.087,##########kd000004,546_11
0,4,173,0,0,2095,14.3,##########kd000004,546_14
0,20,292,0,227,661,5.064,##########kd000004,547_2
3,7,376,0,387,2775,20.882,##########kd000004,547_9
0,10,135,0,0,916,5.628,##########kd000013,548_5
0,17,233,0,168,577,5.029,##########kd000013,548_7
0,1,65,0,0,2204,11.359,##########kd000013,548_9
1,14,398,0,327,2601,16.09,##########kd000013,549_5
5,17,295,282,1000,2770,16.478,##########kd000013,549_6
0,2,193,327,498,2817,17.825,##########kd000013,549_10
1,19,293,0,189,2542,18.683,##########kd000013,549_11
0,21,265,0,245,620,5.157,##########kd000013,549_13
0,0,45,0,0,1804,9.979,##########kd000024,550_8
0,0,14,0,0,1001,5.479,##########kd000024,550_10
19,11,520,202,973,2753,21.952,##########kd000024,550_12
0,2,308,0,151,2666,16.474,##########kd000024,550_19
0,0,159,0,0,929,7.631,##########kd000024,551_6
0,0,202,0,0,1766,12.346,##########kd000024,551_7
0,0,11,0,0,1822,11.391,##########kd000024,551_8
1,0,278,0,169,3512,21.99,##########kd000081,552_2
0,1,102,0,0,1674,9.13,##########kd000081,552_4
0,0,45,0,0,1368,7.672,##########kd000081,552_5
8,34,552,530,1074,1924,17.153,##########kd000081,552_10
0,0,0,0,0,1494,9.151,##########kd000081,552_12
0,4,266,0,800,1203,10.157,##########kd000024,553_9
0,0,62,0,0,1123,6.885,##########kd000024,553_10
0,1,52,0,0,2781,18.18,##########kd000024,553_12
0,0,111,494,532,2107,12.297,##########kd000024,553_13
0,0,160,0,0,1763,11.966,##########kd000024,553_14
0,4,180,308,383,1464,10.322,##########kd000024,553_24
2,1,140,0,0,1840,11.5,##########kd000024,553_26
1,0,267,141,347,1248,11.575,##########kd000024,554_8
0,0,79,0,0,1769,11.546,##########kd000024,554_9
0,0,22,0,0,1967,12.27,##########kd000024,554_10
0,0,78,62,116,2268,12.009,##########kd000024,554_11
0,0,15,0,0,1921,9.939,##########kd000024,554_12
2,0,88,0,146,1322,8.32,##########kd000024,554_13
0,0,97,0,0,3366,20.988,##########kd000024,555_2
0,0,90,194,240,2173,11.882,##########kd000024,555_3
0,0,14,0,0,1363,7.229,##########kd000024,555_4
0,0,20,0,0,2180,11.366,##########kd000076,556_2
0,0,19,0,0,1000,5.019,##########kd000024,557_2
22,16,331,302,837,509,7.139,##########kd000024,557_5
3,3,241,338,488,1353,10.453,##########kd000024,557_6
0,0,48,0,0,2000,10.79,##########kd000024,557_7
0,4,280,0,433,1201,10.35,##########kd000024,558_4
0,1,111,0,0,3751,23.26,##########kd000024,558_5
5,10,294,170,332,469,5.351,##########kd000024,558_10
4,4,309,0,170,2348,16.486,##########kd000024,558_13
0,0,219,64,296,1409,10.124,##########kd000024,559_3
1,5,121,0,0,3790,21.451,##########kd000024,559_4
0,0,44,0,0,2205,11.624,##########kd000024,559_5
0,0,26,0,0,1878,10.171,##########kd000024,559_6
0,2,74,0,0,1326,7.59,##########kd000024,559_7
26,7,541,584,1301,2020,18.646,##########kd000024,559_12
0,0,30,0,0,2025,11.286,##########kd000024,559_13
0,0,34,0,0,831,5.142,##########kd000024,560_8
0,1,87,0,0,3439,20.166,##########kd000024,560_10
17,15,497,308,1141,669,8.866,##########kd000024,560_14
0,0,34,0,0,1270,7.576,##########kd000024,560_15
0,8,151,0,223,1773,12.207,##########kd000087,561_5
4,4,208,278,582,735,7.571,##########kd000087,561_10
9,5,267,419,748,1882,14.826,##########kd000087,561_11
0,4,150,595,928,601,5.23,##########kd000024,562_6
0,0,45,0,0,1377,7.327,##########kd000024,562_7
0,0,35,0,0,3177,18.202,##########kd000024,562_8
0,0,63,0,0,3535,19.589,##########kd000024,562_9
0,1,173,0,120,1416,11.41,##########kd000024,562_14
0,0,408,108,511,3091,20.957,##########kd000024,563_5
0,0,14,0,0,1309,8.027,##########kd000024,563_6
0,0,63,0,0,3446,18.28,##########kd000024,563_9
1,0,121,0,0,1488,8.866,##########kd000024,563_10
0,1,169,0,146,611,6.264,##########kd000081,565_5
0,0,133,0,0,3398,18.915,##########kd000024,566_6
0,0,0,0,0,955,5.63,##########kd000017,567_24
0,0,25,0,0,879,5.002,##########kd000017,569_10
0,0,6,0,0,1009,5.019,##########kd000017,569_25
0,0,51,0,0,1227,7.492,##########kd000081,570_13
2,7,301,0,167,388,6.117,##########kd000017,572_3
12,14,236,116,342,654,5.848,##########kd000017,572_37
9,9,255,63,327,468,6.446,##########kd000017,574_4
0,0,14,0,0,1174,6.088,##########kd000017,574_20
0,0,154,563,775,544,6.222,##########kd000087,576_5
1,0,43,0,0,685,5.117,##########kd000017,577_10
0,0,7,0,0,1893,10.383,##########kd000017,577_23
5,7,146,134,349,795,6.447,##########kd000017,577_53
10,16,173,0,439,648,5.579,##########kd000017,578_56
9,11,393,258,641,881,8.069,##########kd000017,579_49
0,0,0,0,0,1177,6.091,##########kd000017,580_29
0,0,0,0,0,1282,6.708,##########kd000017,582_10
0,0,15,0,0,1223,6.759,##########kd000017,582_25
6,3,184,0,139,1008,8.638,##########kd000017,583_5
0,0,8,0,0,1136,6.555,##########kd000017,583_17
5,4,271,0,287,840,7.79,##########kd000017,583_55
0,0,10,0,0,1684,8.704,##########kd000076,586_18
2,0,131,0,227,632,5.176,##########kd000017,587_10
0,0,9,0,0,1231,6.667,##########kd000017,587_27
2,9,26,0,0,1424,8.182,##########kd000017,587_49
0,0,50,0,0,2258,13.038,##########kd000017,588_25
7,16,267,274,1029,608,6.743,##########kd000017,588_58
0,0,0,0,0,1176,6.498,##########kd000017,589_28
0,1,177,77,276,1275,10.482,##########kd000117,590_4
2,9,328,135,480,392,6.232,##########kd000076,591_2
3,9,167,0,182,529,5.993,##########kd000017,592_5
0,0,0,0,0,1039,5.666,##########kd000017,592_16
5,11,264,0,251,649,7.555,##########kd000017,594_5
19,9,269,62,368,730,5.92,##########kd000021,595_6
9,4,191,64,260,619,5.656,##########kd000076,596_10
0,7,177,306,666,1673,12.117,##########kd000076,596_13
14,4,315,334,446,2728,23.862,##########kd000021,597_7
0,4,62,0,707,1885,12.768,##########kd000021,597_8
0,0,37,0,0,1706,10.457,##########kd000021,597_9
28,24,260,492,1072,821,7.753,##########kd000021,597_13
39,26,639,227,1612,2016,19.741,##########kd000021,598_4
0,1,470,526,1296,1948,17.735,##########kd000021,598_7
0,0,6,0,0,938,6.182,##########kd000087,599_8
0,0,8,0,0,812,5.755,##########kd000087,599_9
6,19,519,506,1317,2848,23.814,##########kd000087,599_14
3,9,334,1075,1202,1672,17.184,##########kd000087,600_2
0,2,61,0,64,2909,20.636,##########kd000087,600_3
0,0,84,94,129,2708,17.534,##########kd000087,600_4
0,10,96,0,0,1582,12.474,##########kd000021,601_7
0,0,46,0,0,2110,12.919,##########kd000021,601_8
28,19,427,1063,1727,552,7.95,##########kd000021,601_12
0,0,122,0,0,2986,18.775,##########kd000021,601_13
0,0,92,0,0,1556,10.23,##########kd000021,602_15
0,0,128,0,0,1874,12.403,##########kd000021,603_3
3,11,259,99,482,666,6.174,##########kd000021,603_11
7,4,302,318,712,1820,15.405,##########kd000021,604_7
0,0,14,0,0,3193,18.01,##########kd000021,604_8
0,0,74,0,89,1810,9.891,##########kd000021,604_9
6,8,161,0,79,2336,14.8,##########kd000021,604_12
0,3,187,0,65,621,5.222,##########kd000021,604_16
3,8,256,0,0,3416,21.607,##########kd000021,604_19
13,26,588,613,1721,1252,12.187,##########kd000021,604_22
20,18,349,720,1035,1255,15.639,##########kd000021,605_3
0,0,74,0,0,644,5.479,##########kd000021,605_4
0,0,0,0,84,2179,14.679,##########kd000021,605_5
0,0,56,0,61,1791,11.683,##########kd000021,605_6
1,4,174,0,365,1316,9.584,##########kd000021,605_8
9,14,619,545,1174,3003,21.689,##########kd000076,606_6
18,3,274,87,489,721,7.268,##########kd000021,607_4
0,0,36,0,0,2713,14.711,##########kd000021,608_3
23,18,357,79,582,662,6.95,##########kd000021,608_10
0,0,71,0,0,1690,8.489,##########kd000021,609_10
1,2,109,0,151,605,5.303,##########kd000021,609_14
4,6,176,614,765,3471,22.741,##########kd000021,609_16
0,8,193,0,0,1461,9.365,##########kd000021,609_19
0,0,0,0,0,1866,8.77,##########kd000021,610_3
8,2,356,225,443,658,7.203,##########kd000021,610_11
10,16,533,0,146,2639,20.056,##########kd000076,611_4
0,1,45,0,0,2470,13.945,##########kd000076,611_5
1,6,132,0,156,2054,11.823,##########kd000076,611_6
0,4,52,0,0,1942,12.118,##########kd000076,611_9
0,0,29,0,0,1305,7.43,##########kd000076,611_10
9,23,178,1690,2220,527,7.779,##########kd000021,612_6
12,12,442,63,498,1444,16.307,##########kd000021,612_13
29,24,579,1610,3513,1196,16.506,##########kd000021,612_14
0,0,82,131,171,1971,11.113,##########kd000021,613_9
8,6,194,99,408,675,6.754,##########kd000021,613_13
0,0,43,0,0,1105,8.415,##########kd000021,614_6
6,6,147,0,167,650,5.293,##########kd000021,614_11
4,17,229,446,780,2486,16.669,##########kd000076,615_7
0,0,61,0,0,2016,12.33,##########kd000021,616_5
5,5,210,445,622,2359,16.054,##########kd000021,616_10
0,0,68,0,0,1429,8.12,##########kd000021,616_14
0,1,107,0,0,3249,20.903,##########kd000021,617_7
12,10,336,420,616,651,8.314,##########kd000021,617_12
1,4,297,319,499,740,7.813,##########kd000021,618_3
0,4,114,0,0,1175,9.013,##########kd000021,618_4
0,0,36,0,0,869,6.338,##########kd000021,618_5
0,0,44,0,0,1292,8.21,##########kd000021,618_6
0,0,117,0,0,2975,20.48,##########kd000021,618_7
3,22,359,800,1506,858,9.723,##########kd000081,619_7
0,0,21,0,0,2720,18.764,##########kd000081,620_4
2,4,80,0,0,3225,22.888,##########kd000081,620_5
0,0,178,601,922,671,7.121,##########kd000081,620_10
0,3,141,0,165,1371,11.533,##########kd000081,620_12
0,0,39,0,0,1966,13.551,##########kd000021,621_4
2,14,236,63,124,2951,23.887,##########kd000021,621_5
0,0,65,0,0,4256,22.626,##########kd000021,623_7
0,2,9,0,0,1117,6.562,##########kd000021,624_5
0,0,149,0,0,2414,17.888,##########kd000028,625_5
3,5,229,98,543,3207,21.21,##########kd000028,625_7
1,0,364,72,265,3181,24.358,##########kd000077,626_4
0,0,139,127,603,1740,12.21,##########kd000077,626_5
8,12,517,639,1342,2284,19.618,##########kd000077,626_11
0,0,71,0,0,1674,10.631,##########kd000077,626_12
0,0,51,0,0,3203,18.796,##########kd000081,627_4
0,0,9,0,0,1008,6.338,##########kd000081,627_5
0,2,251,114,419,1288,11.574,##########kd000077,628_4
0,1,50,0,0,1551,10.415,##########kd000077,628_5
0,0,97,0,0,1053,7.496,##########kd000076,631_5
0,1,49,0,0,3824,24.913,##########kd000076,631_6
0,0,24,0,0,1489,8.545,##########kd000076,631_9
0,1,125,0,0,1746,12.191,##########kd000076,631_16
0,0,81,0,0,539,5.101,##########kd000019,632_3
11,2,153,71,206,1429,12.279,##########kd000019,632_5
0,6,34,0,0,2798,18.565,##########kd000019,632_6
4,10,263,0,271,1204,11.901,##########kd000019,632_8
0,0,19,0,0,929,6.585,##########kd000019,633_6
2,11,15,0,0,2835,18.173,##########kd000019,633_8
0,1,24,0,0,3387,19.744,##########kd000019,633_9
0,0,43,0,0,3244,20.648,##########kd000019,633_10
0,0,86,0,0,1192,9.844,##########kd000019,633_18
35,18,295,640,1190,629,8.949,##########kd000019,634_8
0,2,104,0,0,1266,8.607,##########kd000019,634_10
0,0,8,0,0,938,5.48,##########kd000019,634_12
0,0,101,0,0,3797,22.496,##########kd000019,635_5
1,0,60,0,0,2609,16.545,##########kd000019,635_6
3,5,177,347,483,1430,11.292,##########kd000019,635_11
0,0,21,0,0,1659,10.317,##########kd000019,635_12
0,0,196,0,0,3501,20.119,##########kd000019,635_15
0,0,145,0,0,908,7.496,##########kd000019,636_5
0,0,150,0,0,2538,18.316,##########kd000019,636_6
0,0,16,0,0,2109,12.953,##########kd000019,636_7
0,0,117,0,0,2550,17.086,##########kd000019,636_8
0,0,40,0,0,1540,11.656,##########kd000019,636_9
9,7,90,82,291,604,5.247,##########kd000019,636_11
8,2,175,63,146,531,5.513,##########kd000019,636_13
0,5,47,0,0,1165,7.995,##########kd000019,636_19
0,2,29,0,0,3521,22.435,##########kd000019,636_20
0,1,250,0,205,2522,18.254,##########kd000081,637_2
0,4,102,906,1000,2957,19.341,##########kd000081,637_5
0,0,15,0,0,1042,5.492,##########kd000081,637_6
251,199,163,0,76,1010,15.484,##########kd000048,638_4
232,176,103,0,633,970,12.105,##########kd000048,638_5
53,32,40,0,0,1297,9.001,##########kd000066,639_6
31,19,135,0,0,782,7.118,##########kd000066,639_10
69,53,324,229,1020,1368,13.456,##########kd000066,639_11
220,219,481,200,725,1947,19.935,##########kd000048,640_2
200,173,170,0,438,1827,18.291,##########kd000048,640_17
117,86,399,78,1264,2691,23.994,##########kd000048,641_16
80,66,21,0,0,1209,8.819,##########kd000048,642_9
118,91,147,0,1034,1021,9.504,##########kd000048,642_10
48,42,540,77,696,3399,23.107,##########kd000048,642_16
418,365,6,0,0,176,9.555,##########kd000048,643_10
743,579,6,181,740,448,15.144,##########kd000048,643_11
402,311,27,0,91,94,8.637,##########kd000048,643_19
670,530,20,0,814,196,11.79,##########kd000048,643_20
541,405,81,123,677,1278,21.994,##########kd000048,645_5
167,111,282,167,1171,1785,17.548,##########kd000048,645_16
131,76,249,478,1671,2994,23.341,##########kd000048,646_1
160,81,78,63,1074,562,8.483,##########kd000048,646_4
120,72,48,0,204,1450,12.068,##########kd000048,646_5
135,73,340,175,1061,2402,23.305,##########kd000048,646_8
77,68,425,91,759,2193,20.225,##########kd000048,646_17
224,183,347,263,1178,1702,22.876,##########kd000048,647_5
17,13,262,552,675,1119,11.861,##########kd000048,648_1
29,29,294,100,665,2626,16.956,##########kd000048,648_2
28,12,203,0,942,1734,14.743,##########kd000048,648_7
20,31,322,77,824,865,8.829,##########kd000048,648_8
75,61,450,0,836,2301,20.717,##########kd000048,648_13
60,37,302,478,1172,2420,16.757,##########kd000048,649_6
1095,861,96,67,971,340,23.732,##########kd000048,652_2
460,352,94,0,1018,367,14.411,##########kd000048,652_18
6,15,349,0,267,2096,13.313,##########kd000048,653_9
29,49,388,70,771,2862,19.019,##########kd000048,653_15
20,15,164,249,555,1878,12.145,##########kd000048,654_9
88,98,503,61,1024,2931,23.77,##########kd000048,654_14
93,91,321,70,728,2789,23.627,##########kd000048,654_18
30,20,272,0,0,2490,18.528,##########kd000048,655_10
14,18,332,335,825,1135,10.623,##########kd000048,655_11
12,25,369,595,1006,1359,12.206,##########kd000048,655_12
15,30,409,0,671,2792,21.098,##########kd000048,655_18
81,96,566,0,752,2258,21.162,##########kd000048,657_3
103,80,295,162,943,2213,18.613,##########kd000048,657_8
28,30,207,354,788,630,6.378,##########kd000048,658_8
147,95,255,0,709,2445,19.252,##########kd000048,658_12
15,13,176,0,158,1257,8.864,##########kd000048,659_8
43,40,293,0,948,1539,11.933,##########kd000048,659_9
122,86,384,117,911,3103,24.772,##########kd000009,660_5
117,63,708,132,2117,2358,24.633,##########kd000048,661_7
49,26,87,0,0,1506,10.414,##########kd000048,661_16
128,90,212,0,424,1534,15.038,##########kd000048,663_4
106,52,36,94,254,648,9.412,##########kd000048,663_11
148,84,112,61,2094,1333,11.792,##########kd000048,663_12
314,192,134,0,958,1880,21.973,##########kd000048,663_19
7,4,180,0,82,1334,9.408,##########kd000048,664_9
35,41,386,167,1036,1409,12.338,##########kd000048,664_10
433,368,6,294,730,0,9.971,##########kd000066,665_7
1730,1684,24,1008,3314,0,24.69,##########kd000066,665_9
6,28,410,714,1302,600,6.4,##########kd000069,666_1
7,21,587,203,1459,916,10.067,##########kd000069,666_2
19,56,997,731,4364,1493,19.919,##########kd000069,666_11
21,63,1231,585,3638,2059,22.597,##########kd000069,666_13
22,58,974,631,2409,2101,18.874,##########kd000069,666_15
0,13,545,0,1262,329,9.155,##########kd000013,667_4
0,0,7,0,0,1706,9.85,##########kd000067,668_8
0,0,77,0,0,2129,9.277,##########kd000067,668_9
4,7,228,103,422,2238,12.035,##########kd000067,668_10
6,11,227,281,756,2319,17.394,##########kd000058,669_11
6,20,219,78,912,2068,12.939,##########kd000057,671_5
0,2,242,546,663,557,6.855,##########kd000057,671_8
0,4,86,67,204,3417,16.377,##########kd000064,672_1
0,10,397,0,0,3466,21.079,##########kd000064,672_17
0,3,225,1033,2465,1771,16.609,##########kd000019,673_3
0,0,101,0,0,1412,10.575,##########kd000019,673_4
6,13,322,71,704,834,5.545,##########kd000060,676_7
11,52,895,427,2145,1363,13.794,##########kd000060,676_20
13,35,510,208,1240,732,7.587,##########kd000060,676_21
8,12,608,190,465,1750,16.833,##########kd000076,677_2
5,8,487,433,1007,2044,19.173,##########kd000076,677_6
0,1,54,594,632,1314,5.953,##########kd000076,677_7
407,267,44,81,2620,164,11.081,##########kd000048,678_4
359,311,17,667,1615,12,6.307,##########kd000048,678_10
111,73,36,0,84,434,6.198,##########kd000048,678_12
327,252,36,146,621,1001,14.156,##########kd000048,678_13
2,8,790,297,1594,1533,12.687,##########kd000032,679_2
8,4,525,277,1640,758,8.315,##########kd000032,679_15
6,6,547,291,1793,1021,7.843,##########kd000032,679_16
1,24,648,324,1285,1195,9.186,##########kd000032,679_24
1,0,202,0,102,3377,21.261,##########kd000119,680_4
1,0,241,0,0,1346,10.182,##########kd000119,680_11
0,0,149,0,0,2374,17.012,##########kd000119,680_12
0,0,229,0,69,3334,20.008,##########kd000119,680_13
4,23,577,357,738,2080,21.084,##########kd000023,681_4
7,18,612,186,448,1659,16.155,##########kd000023,681_5
4,11,333,199,259,500,8.835,##########kd000023,681_8
10,23,270,304,1575,585,5.11,##########kd000023,681_12
3,22,567,859,1948,1823,21.098,##########kd000046,682_7
0,4,261,1287,1976,412,8.819,##########kd000046,682_9
0,0,17,0,0,852,5.248,##########kd000016,683_3
2,1,109,0,228,2081,14.165,##########kd000016,683_4
1,3,129,0,119,2876,23.322,##########kd000016,683_7
3,7,332,0,277,1674,11.682,##########kd000016,683_11
16,15,281,537,3346,380,5.948,##########kd000036,684_10
11,39,868,231,2300,1299,12.224,##########kd000036,684_15
11,13,467,255,1899,865,7.903,##########kd000036,684_23
5,4,298,285,898,729,5.564,##########kd000036,684_28
1,0,179,383,743,697,6.367,##########kd000104,685_9
1,15,280,0,528,723,8.156,##########kd000090,687_3
1,36,464,224,1356,2234,14.275,##########kd000090,687_6
0,0,102,0,85,1086,7.634,##########kd000090,687_9
7,43,754,185,1718,666,11.145,##########kd000090,687_10
5,23,340,216,1065,604,5.476,##########kd000090,687_12
5,9,229,93,442,2693,17.533,##########kd000074,688_8
9,20,351,163,676,419,5.918,##########kd000074,688_10
6,20,219,78,912,2068,12.939,##########kd000057,689_5
0,2,242,546,663,557,6.855,##########kd000057,689_8
1,0,179,383,743,697,6.367,##########kd000104,690_9
6,11,227,281,756,2319,17.394,##########kd000058,691_11
0,3,225,1033,2465,1771,16.609,##########kd000019,693_3
0,0,101,0,0,1412,10.575,##########kd000019,693_4
8,12,608,190,465,1750,16.833,##########kd000076,695_2
5,8,487,433,1007,2044,19.173,##########kd000076,695_6
0,1,54,594,632,1314,5.953,##########kd000076,695_7
407,267,44,81,2620,164,11.081,##########kd000048,696_4
359,311,17,667,1615,12,6.307,##########kd000048,696_10
111,73,36,0,84,434,6.198,##########kd000048,696_12
327,252,36,146,621,1001,14.156,##########kd000048,696_13
0,4,86,67,204,3417,16.377,##########kd000064,698_1
0,10,397,0,0,3466,21.079,##########kd000064,698_17
1,15,280,0,528,723,8.156,##########kd000090,699_3
1,36,464,224,1356,2234,14.275,##########kd000090,699_6
0,0,102,0,85,1086,7.634,##########kd000090,699_9
7,43,754,185,1718,666,11.145,##########kd000090,699_10
5,23,340,216,1065,604,5.476,##########kd000090,699_12
4,23,577,357,738,2080,21.084,##########kd000023,700_4
7,18,612,186,448,1659,16.155,##########kd000023,700_5
4,11,333,199,259,500,8.835,##########kd000023,700_8
10,23,270,304,1575,585,5.11,##########kd000023,700_12
5,9,229,93,442,2693,17.533,##########kd000074,701_8
9,20,351,163,676,419,5.918,##########kd000074,701_10
1,0,202,0,102,3377,21.261,##########kd000119,702_4
1,0,241,0,0,1346,10.182,##########kd000119,702_11
0,0,149,0,0,2374,17.012,##########kd000119,702_12
0,0,229,0,69,3334,20.008,##########kd000119,702_13
0,0,17,0,0,852,5.248,##########kd000016,703_3
2,1,109,0,228,2081,14.165,##########kd000016,703_4
1,3,129,0,119,2876,23.322,##########kd000016,703_7
3,7,332,0,277,1674,11.682,##########kd000016,703_11
2,8,790,297,1594,1533,12.687,##########kd000032,704_2
8,4,525,277,1640,758,8.315,##########kd000032,704_15
6,6,547,291,1793,1021,7.843,##########kd000032,704_16
1,24,648,324,1285,1195,9.186,##########kd000032,704_24
0,0,7,0,0,1706,9.85,##########kd000067,705_8
0,0,77,0,0,2129,9.277,##########kd000067,705_9
4,7,228,103,422,2238,12.035,##########kd000067,705_10
3,22,567,859,1948,1823,21.098,##########kd000046,706_7
0,4,261,1287,1976,412,8.819,##########kd000046,706_9
16,15,281,537,3346,380,5.948,##########kd000036,707_10
11,39,868,231,2300,1299,12.224,##########kd000036,707_15
11,13,467,255,1899,865,7.903,##########kd000036,707_23
5,4,298,285,898,729,5.564,##########kd000036,707_28
0,13,545,0,1262,329,9.155,##########kd000013,708_4
6,28,410,714,1302,600,6.4,##########kd000069,710_1
7,21,587,203,1459,916,10.067,##########kd000069,710_2
19,56,997,731,4364,1493,19.919,##########kd000069,710_11
21,63,1231,585,3638,2059,22.597,##########kd000069,710_13
22,58,974,631,2409,2101,18.874,##########kd000069,710_15
6,13,322,71,704,834,5.545,##########kd000060,711_7
11,52,895,427,2145,1363,13.794,##########kd000060,711_20
13,35,510,208,1240,732,7.587,##########kd000060,711_21
1,18,322,0,508,525,5.384,##########kd000004,712_2
0,14,307,178,464,463,6.982,##########kd000004,712_15
12,63,813,355,2763,1793,15.936,##########kd000069,713_7
2,20,303,324,846,1371,11.551,##########kd000023,714_6
0,3,200,134,272,384,5.512,##########kd000023,714_11
4,7,468,357,1439,2343,17.867,##########kd000023,714_14
10,29,764,65,1688,1006,11.834,##########kd000033,716_11
9,35,595,740,1806,1424,12.5,##########kd000033,716_15
4,9,235,0,990,571,7.52,##########kd000099,717_4
0,3,154,0,0,2018,13.136,##########kd000099,717_15
0,0,134,0,80,1522,10.319,##########kd000099,717_16
2,11,339,239,865,663,5.542,##########kd000032,718_4
12,16,1109,533,2696,1987,15.973,##########kd000032,718_7
11,12,808,246,2695,1220,11.109,##########kd000032,718_19
0,3,267,629,986,756,8.928,##########kd000021,719_4
2,7,154,0,0,2603,21.319,##########kd000021,719_8
3,25,673,0,3560,1436,18.549,##########kd000016,720_3
0,11,130,628,813,1995,15.052,##########kd000016,720_4
0,0,127,0,0,2071,16.303,##########kd000016,720_5
0,6,132,0,170,1333,9.164,##########kd000016,720_6
6,31,670,0,322,1813,17.44,##########kd000016,720_9
19,33,547,115,1009,744,10,##########kd000016,720_11
4,1,266,0,1261,782,7.983,##########kd000016,720_14
1,4,223,0,248,1495,8.448,##########kd000016,720_15
86,38,242,75,1175,2672,19.164,##########kd000048,721_2
1,5,539,0,2064,792,13.883,##########kd000019,722_4
0,1,287,0,0,811,10.281,##########kd000019,722_5
0,1,92,82,126,709,6.172,##########kd000019,722_7
1,4,206,0,74,1832,16.413,##########kd000019,722_9
1,0,227,0,154,1996,14.76,##########kd000119,724_7
0,0,63,0,0,1783,12.058,##########kd000119,724_8
0,2,206,0,164,3350,20.172,##########kd000119,724_9
1,2,278,0,1938,660,9.585,##########kd000104,725_3
4,16,627,0,2475,755,11.633,##########kd000057,726_2
2,14,362,0,204,765,9.082,##########kd000057,726_4
0,4,213,689,810,1824,13.147,##########kd000057,726_6
12,29,430,221,538,2840,19.408,##########kd000057,726_7
0,14,455,0,372,1587,11.727,##########kd000057,726_9
0,1,57,669,748,1379,10.746,##########kd000057,726_12
0,2,82,249,511,1620,8.476,##########kd000057,726_13
2,21,784,86,2817,927,14.376,##########kd000090,727_3
1,5,224,0,263,1663,10.042,##########kd000090,727_5
4,21,594,88,564,3533,24.556,##########kd000090,727_14
45,92,957,350,1818,2007,24.588,##########kd000125,729_1
2,8,158,0,149,2241,14.135,##########kd000125,729_6
3,8,225,0,1122,319,5.131,##########kd000125,729_7
2,7,177,63,133,1896,12.781,##########kd000125,729_9
15,34,293,184,678,563,6.069,##########kd000125,729_10
0,8,233,0,0,3404,19.455,##########kd000064,731_6
2,9,335,0,454,1565,13.007,##########kd000064,731_13
2,8,426,62,932,3008,19.279,##########kd000064,731_14
7,26,355,76,570,1607,13.653,##########kd000108,732_8
2,2,120,0,119,2801,17.94,##########kd000108,732_11
0,0,32,0,0,3727,18.648,##########kd000108,732_13
2,20,303,324,846,1371,11.551,##########kd000023,733_6
0,3,200,134,272,384,5.512,##########kd000023,733_11
4,7,468,357,1439,2343,17.867,##########kd000023,733_14
1,5,539,0,2064,792,13.883,##########kd000019,735_4
0,1,287,0,0,811,10.281,##########kd000019,735_5
0,1,92,82,126,709,6.172,##########kd000019,735_7
1,4,206,0,74,1832,16.413,##########kd000019,735_9
0,3,267,629,986,756,8.928,##########kd000021,737_4
2,7,154,0,0,2603,21.319,##########kd000021,737_8
3,25,673,0,3560,1436,18.549,##########kd000016,739_3
0,11,130,628,813,1995,15.052,##########kd000016,739_4
0,0,127,0,0,2071,16.303,##########kd000016,739_5
0,6,132,0,170,1333,9.164,##########kd000016,739_6
6,31,670,0,322,1813,17.44,##########kd000016,739_9
19,33,547,115,1009,744,10,##########kd000016,739_11
4,1,266,0,1261,782,7.983,##########kd000016,739_14
1,4,223,0,248,1495,8.448,##########kd000016,739_15
0,8,233,0,0,3404,19.455,##########kd000064,740_6
2,9,335,0,454,1565,13.007,##########kd000064,740_13
